uid,years_experience,expected_salary_k,age,weekly_hours,num_applications,gender,job_level,industry,user_active_loc,user_edu,political_affiliation,expected_title,user_skills,education_ordinal,job_level_ordinal,ground_truth_jd_id,user_profile_text
REC_02465,6.0,23.0,29.0,36.7,7.0,Male,Mid-level,Real Estate,Hangzhou,Bachelor's,CPC Candidate,Valuation Analyst,"Data Visualization, Procore, UX/UI, Negotiation, Underwriting",1.0,2,JD_1679,"Skills: Data Visualization, Procore, UX/UI, Negotiation, Underwriting. Education: Bachelor's. Level: Mid-level. Expected Title: Valuation Analyst. Industry: Real Estate"
REC_00229,3.0,13.0,30.0,47.2,,Male,Junior,Energy,Zhengzhou,Bachelor's,CPC Candidate,Energy Trader,"Power System Dynamics, Thermodynamics, PSCAD/PSS®E, Regulatory Frameworks, Plant Operations, Energy Yield Modeling, Detail Oriented, Environmental Science",1.0,1,JD_0106,"Skills: Power System Dynamics, Thermodynamics, PSCAD/PSS®E, Regulatory Frameworks, Plant Operations, Energy Yield Modeling, Detail Oriented, Environmental Science. Education: Bachelor's. Level: Junior. Expected Title: Energy Trader. Industry: Energy"
REC_00916,12.0,25.0,36.0,50.2,5.0,Male,Senior,Healthcare,Chengdu,Bachelor's,,Scientist Bioinformatics,"Data Integration, Database Admin, Regulatory Compliance, Legal Standards, SQL Tuning",1.0,3,JD_1175,"Skills: Data Integration, Database Admin, Regulatory Compliance, Legal Standards, SQL Tuning. Education: Bachelor's. Level: Senior. Expected Title: Scientist Bioinformatics. Industry: Healthcare"
REC_00795,5.0,20.0,29.0,43.4,12.0,Female,Mid-level,E-Commerce,,Ph.D.,Non-affiliated,Personalization Specialist,"SQL, Copywriting, NLP, Warehouse Management Systems, Python, Journey Mapping, Cohort Analysis, Elasticsearch",3.0,2,JD_0049,"Skills: SQL, Copywriting, NLP, Warehouse Management Systems, Python, Journey Mapping, Cohort Analysis, Elasticsearch. Education: Ph.D.. Level: Mid-level. Expected Title: Personalization Specialist. Industry: E-Commerce"
REC_03022,8.0,45.0,33.0,44.1,7.0,Male,Manager,Media,Suzhou,Ph.D.,Democratic Party Member,Interactive Producer,"Audio Programming, CDN Architecture, Python, Video Routing, AR/VR Tech",3.0,5,JD_0351,"Skills: Audio Programming, CDN Architecture, Python, Video Routing, AR/VR Tech. Education: Ph.D.. Level: Manager. Expected Title: Interactive Producer. Industry: Media"
REC_03544,3.0,17.2,27.0,43.4,8.0,Male,Junior,Retail,Chongqing,Bachelor's,Non-affiliated,Loss Prevention Spec,"SQL, POS Architecture, Retail Math, Marketing Analytics, Inventory Planning, Qualitative Research, Auditing",1.0,1,JD_0000,"Skills: SQL, POS Architecture, Retail Math, Marketing Analytics, Inventory Planning, Qualitative Research, Auditing. Education: Bachelor's. Level: Junior. Expected Title: Loss Prevention Spec. Industry: Retail"
REC_01074,11.0,37.0,36.0,37.9,,Female,Senior,Education Technology,Beijing,Bachelor's,CPC Member,Online Tutor Coordinator,"LTI Standards, Educational Data Mining, Text Mining, Usability Testing, Pedagogy, SQL",1.0,3,JD_0976,"Skills: LTI Standards, Educational Data Mining, Text Mining, Usability Testing, Pedagogy, SQL. Education: Bachelor's. Level: Senior. Expected Title: Online Tutor Coordinator. Industry: Education Technology"
REC_03352,0.0,10.0,28.0,44.4,7.0,Female,Intern,Media,Shenzhen,Bachelor's,Non-affiliated,Interactive Producer,"Troubleshooting, AR/VR Tech, Agile/Scrum, Copywriting, Acoustics, C++, Social Media Analytics, Python",1.0,0,JD_1500,"Skills: Troubleshooting, AR/VR Tech, Agile/Scrum, Copywriting, Acoustics, C++, Social Media Analytics, Python. Education: Bachelor's. Level: Intern. Expected Title: Interactive Producer. Industry: Media"
REC_01745,2.0,20.0,23.0,40.0,11.0,Female,Mid-level,Media,Changsha,Bachelor's,Non-affiliated,Broadcast Engineer,"Recommendation Systems, Content Strategy, Audience Segmentation, Pipeline Development, Video Codecs (H.264/H.265), RF Engineering, Agile/Scrum",1.0,2,JD_0644,"Skills: Recommendation Systems, Content Strategy, Audience Segmentation, Pipeline Development, Video Codecs (H.264/H.265), RF Engineering, Agile/Scrum. Education: Bachelor's. Level: Mid-level. Expected Title: Broadcast Engineer. Industry: Media"
REC_01085,,20.0,30.0,44.3,6.0,Female,Senior,Energy,Beijing,High School,CPC Member,HSE Compliance Lead,"Carbon Auditing, Python, Operations Management, Time Series Analysis, Time Series Forecasting, Big Data (Spark), Risk Management",0.0,3,JD_1464,"Skills: Carbon Auditing, Python, Operations Management, Time Series Analysis, Time Series Forecasting, Big Data (Spark), Risk Management. Education: High School. Level: Senior. Expected Title: HSE Compliance Lead. Industry: Energy"
REC_00927,0.0,10.0,25.0,42.1,5.0,Male,Junior,Healthcare,Chongqing,Master's,Non-affiliated,Medical Imaging Researcher,"PyTorch, Study Design, Clinical Trials, Bioconductor, Regulatory Compliance, Biostatistics, SQL",2.0,1,JD_0469,"Skills: PyTorch, Study Design, Clinical Trials, Bioconductor, Regulatory Compliance, Biostatistics, SQL. Education: Master's. Level: Junior. Expected Title: Medical Imaging Researcher. Industry: Healthcare"
REC_03050,8.0,25.0,31.0,45.7,12.0,Male,Senior,FinTech,Chongqing,Bachelor's,Non-affiliated,Fraud Analyst,"Algorithmic Trading, NetworkX, Microservices, Financial Modeling, Payment Gateways, Market Microstructure",1.0,3,JD_1631,"Skills: Algorithmic Trading, NetworkX, Microservices, Financial Modeling, Payment Gateways, Market Microstructure. Education: Bachelor's. Level: Senior. Expected Title: Fraud Analyst. Industry: FinTech"
REC_01118,5.0,15.0,31.0,,2.0,Female,Mid-level,Gaming,Suzhou,High School,,Gameplay Programmer,"Python, Data Analysis, Reverse Engineering, Narrative Design, UI/UX Design, Project Management",0.0,2,JD_1578,"Skills: Python, Data Analysis, Reverse Engineering, Narrative Design, UI/UX Design, Project Management. Education: High School. Level: Mid-level. Expected Title: Gameplay Programmer. Industry: Gaming"
REC_00643,14.0,44.0,39.0,37.9,13.0,Male,Lead,Gaming,Shanghai,Bachelor's,Non-affiliated,Live-Ops Manager,"Excel, DirectX/Vulkan, Narrative Design, Python, SQL, Reverse Engineering, Adobe Suite, User Research",1.0,4,JD_0710,"Skills: Excel, DirectX/Vulkan, Narrative Design, Python, SQL, Reverse Engineering, Adobe Suite, User Research. Education: Bachelor's. Level: Lead. Expected Title: Live-Ops Manager. Industry: Gaming"
REC_04768,1.0,10.0,27.0,44.8,9.0,Female,Intern,Gaming,Nanjing,Master's,Non-affiliated,Behavior Researcher,"Computer Graphics, Psychometrics, Assembly, Databases, C/C++",2.0,0,JD_0317,"Skills: Computer Graphics, Psychometrics, Assembly, Databases, C/C++. Education: Master's. Level: Intern. Expected Title: Behavior Researcher. Industry: Gaming"
REC_00502,0.0,10.0,22.0,44.1,7.0,Male,Junior,Education Technology,Shenzhen,Master's,Non-affiliated,Instructional Designer,"Scheduling Algorithms, Java/C#, Roadmapping, Psychometrics, Data Visualization, Predictive Modeling, Wireframing",2.0,1,JD_1809,"Skills: Scheduling Algorithms, Java/C#, Roadmapping, Psychometrics, Data Visualization, Predictive Modeling, Wireframing. Education: Master's. Level: Junior. Expected Title: Instructional Designer. Industry: Education Technology"
REC_04067,10.0,28.0,34.0,46.1,11.0,Male,Senior,Manufacturing,Chongqing,,Non-affiliated,Automation Architect,"Project Management, PLC Programming, Signal Processing, Industry 4.0, Problem Solving, Excel, C++, Reliability Engineering",,3,JD_0777,"Skills: Project Management, PLC Programming, Signal Processing, Industry 4.0, Problem Solving, Excel, C++, Reliability Engineering. Education: . Level: Senior. Expected Title: Automation Architect. Industry: Manufacturing"
REC_00334,2.0,16.7,28.0,45.9,9.0,Female,Junior,Energy,Shanghai,Bachelor's,Non-affiliated,Energy Trader,"Operations Management, MATLAB, Power System Dynamics, Detail Oriented, SQL, Economics, Big Data (Spark)",1.0,1,JD_0825,"Skills: Operations Management, MATLAB, Power System Dynamics, Detail Oriented, SQL, Economics, Big Data (Spark). Education: Bachelor's. Level: Junior. Expected Title: Energy Trader. Industry: Energy"
REC_04685,0.0,5.0,25.0,45.0,9.0,Male,Intern,Retail,Chongqing,Bachelor's,Non-affiliated,Inv Optimization Lead,"Pricing Strategy, Category Management, Networking, Survey Design, API Integration",1.0,0,JD_0948,"Skills: Pricing Strategy, Category Management, Networking, Survey Design, API Integration. Education: Bachelor's. Level: Intern. Expected Title: Inv Optimization Lead. Industry: Retail"
REC_00487,0.0,,24.0,38.5,9.0,Male,Intern,Logistics,Xi'an,High School,CPC Member,Last-Mile Delivery Spec,"SQL, Urban Logistics, WMS (Manhattan/Blue Yonder), GIS, Telematics, Kafka, C++, Spark",0.0,0,JD_1881,"Skills: SQL, Urban Logistics, WMS (Manhattan/Blue Yonder), GIS, Telematics, Kafka, C++, Spark. Education: High School. Level: Intern. Expected Title: Last-Mile Delivery Spec. Industry: Logistics"
REC_01963,1.0,5.0,26.0,45.5,10.0,Male,Intern,Retail,Xi'an,Ph.D.,Non-affiliated,Category Manager,"Survey Design, SPSS, E-commerce, ERP Systems, Market Research, Auditing",3.0,0,JD_0948,"Skills: Survey Design, SPSS, E-commerce, ERP Systems, Market Research, Auditing. Education: Ph.D.. Level: Intern. Expected Title: Category Manager. Industry: Retail"
REC_00394,4.0,,30.0,,12.0,Male,Mid-level,Real Estate,Tianjin,Bachelor's,Non-affiliated,GIS Specialist (RE),"Macroeconomics, GIS (ArcGIS/QGIS), Data Analysis, UX/UI, Navisworks, Environmental Regs, Financial Analysis",1.0,2,JD_0052,"Skills: Macroeconomics, GIS (ArcGIS/QGIS), Data Analysis, UX/UI, Navisworks, Environmental Regs, Financial Analysis. Education: Bachelor's. Level: Mid-level. Expected Title: GIS Specialist (RE). Industry: Real Estate"
REC_04843,8.0,20.0,34.0,45.5,6.0,Male,Senior,Education Technology,Hangzhou,Master's,Non-affiliated,Curriculum Data Scientist,"UI/UX Design, Cloud Computing, Text Mining, Operations Management, Educational Data Mining, Cognitive Science, Java/C#, Psychometrics",2.0,3,JD_0961,"Skills: UI/UX Design, Cloud Computing, Text Mining, Operations Management, Educational Data Mining, Cognitive Science, Java/C#, Psychometrics. Education: Master's. Level: Senior. Expected Title: Curriculum Data Scientist. Industry: Education Technology"
REC_04867,10.0,30.0,,,7.0,Male,Lead,Energy,Nanjing,Master's,CPC Candidate,HSE Compliance Lead,"Plant Operations, Risk Management, Operations Management, Power System Dynamics, Troubleshooting, Excel",2.0,4,JD_0555,"Skills: Plant Operations, Risk Management, Operations Management, Power System Dynamics, Troubleshooting, Excel. Education: Master's. Level: Lead. Expected Title: HSE Compliance Lead. Industry: Energy"
REC_01756,10.0,30.0,34.0,36.3,6.0,Female,Senior,Healthcare,Wuhan,Bachelor's,Non-affiliated,Trial Clinical Coordinator,"PyTorch, Mobile Development, Computer Vision, Biostatistics, Python, Bash/Shell, Security",1.0,3,JD_1064,"Skills: PyTorch, Mobile Development, Computer Vision, Biostatistics, Python, Bash/Shell, Security. Education: Bachelor's. Level: Senior. Expected Title: Trial Clinical Coordinator. Industry: Healthcare"
REC_02516,12.0,25.0,40.0,44.8,8.0,Male,Senior,FinTech,Hangzhou,Master's,CPC Member,Scientist Actuarial,"System Architecture, SAS, Auditing, C++, Algorithmic Trading, Financial Modeling, Risk Assessment, Anomaly Detection",2.0,3,JD_1631,"Skills: System Architecture, SAS, Auditing, C++, Algorithmic Trading, Financial Modeling, Risk Assessment, Anomaly Detection. Education: Master's. Level: Senior. Expected Title: Scientist Actuarial. Industry: FinTech"
REC_03586,3.0,25.0,29.0,44.0,11.0,Female,Mid-level,Gaming,Chongqing,Master's,Non-affiliated,Programmer Gameplay,"Project Management, NLP, Monetization Strategy, Logic Design, C#, Shader Programming, Narrative Design, GPU Profiling",2.0,2,JD_0135,"Skills: Project Management, NLP, Monetization Strategy, Logic Design, C#, Shader Programming, Narrative Design, GPU Profiling. Education: Master's. Level: Mid-level. Expected Title: Programmer Gameplay. Industry: Gaming"
REC_04316,3.0,16.0,29.0,51.5,10.0,Female,Junior,FinTech,Beijing,,Democratic Party Member,Officer Compliance,"Corporate Finance, Valuation, Anomaly Detection, Logistic Regression, M&A, Algorithmic Trading, C++",,1,JD_1118,"Skills: Corporate Finance, Valuation, Anomaly Detection, Logistic Regression, M&A, Algorithmic Trading, C++. Education: . Level: Junior. Expected Title: Officer Compliance. Industry: FinTech"
REC_04967,11.0,35.0,39.0,37.1,3.0,Male,Senior,Gaming,Chengdu,Master's,CPC Member,Anti-Cheat Engineer,"Cloud Architecture (AWS), Machine Learning, Reverse Engineering, Computer Graphics, Unreal Engine, 3D Math, C++, Narrative Design",2.0,3,JD_0258,"Skills: Cloud Architecture (AWS), Machine Learning, Reverse Engineering, Computer Graphics, Unreal Engine, 3D Math, C++, Narrative Design. Education: Master's. Level: Senior. Expected Title: Anti-Cheat Engineer. Industry: Gaming"
REC_02100,4.0,25.0,28.0,52.8,10.0,Female,Mid-level,Gaming,,Bachelor's,CPC Member,Graphics Engine Dev,"Reverse Engineering, Narrative Design, A/B Testing, Communication, Agile, Logic Design, C#",1.0,2,JD_0135,"Skills: Reverse Engineering, Narrative Design, A/B Testing, Communication, Agile, Logic Design, C#. Education: Bachelor's. Level: Mid-level. Expected Title: Graphics Engine Dev. Industry: Gaming"
REC_03600,8.0,27.1,33.0,44.8,10.0,Male,Senior,Telecom,Guangzhou,Bachelor's,,Telco Cyber Specialist,"NFV/SDN, Networking (QoS), SBC Config, Wireshark, Troubleshooting, Operations Management, Java",1.0,3,JD_0212,"Skills: NFV/SDN, Networking (QoS), SBC Config, Wireshark, Troubleshooting, Operations Management, Java. Education: Bachelor's. Level: Senior. Expected Title: Telco Cyber Specialist. Industry: Telecom"
REC_04122,,,35.0,44.3,8.0,Female,Senior,Healthcare,Nanjing,Master's,Non-affiliated,Health Informatics Specialist,"Clinical Trial Design, GCP, Computer Vision, HL7/FHIR, Epidemiology",2.0,3,JD_0023,"Skills: Clinical Trial Design, GCP, Computer Vision, HL7/FHIR, Epidemiology. Education: Master's. Level: Senior. Expected Title: Health Informatics Specialist. Industry: Healthcare"
REC_00030,2.0,25.0,27.0,39.7,10.0,Female,Mid-level,Logistics,Changsha,,Non-affiliated,Route Optimization Eng,"IoT Security, Python, Vendor Management, Urban Logistics, Physical Security, Excel/VBA, Freight Forwarding",,2,JD_0541,"Skills: IoT Security, Python, Vendor Management, Urban Logistics, Physical Security, Excel/VBA, Freight Forwarding. Education: . Level: Mid-level. Expected Title: Route Optimization Eng. Industry: Logistics"
REC_00066,15.0,29.0,40.0,42.2,10.0,Female,Lead,Education Technology,Beijing,Master's,,Architect LMS,"Cognitive Science, Predictive Modeling, SQL, LTI Standards, Psychometrics",2.0,4,JD_0067,"Skills: Cognitive Science, Predictive Modeling, SQL, LTI Standards, Psychometrics. Education: Master's. Level: Lead. Expected Title: Architect LMS. Industry: Education Technology"
REC_00839,2.0,11.5,27.0,51.9,6.0,Male,Junior,FinTech,Changsha,Master's,Non-affiliated,Algorithmic Trader,"Regulatory Compliance, Ethereum, Algorithmic Trading, Financial Risk Management, Statistical Theory, Java, Microservices, Quantitative Finance",2.0,1,JD_0355,"Skills: Regulatory Compliance, Ethereum, Algorithmic Trading, Financial Risk Management, Statistical Theory, Java, Microservices, Quantitative Finance. Education: Master's. Level: Junior. Expected Title: Algorithmic Trader. Industry: FinTech"
REC_03907,8.0,43.0,32.0,50.4,9.0,Female,Manager,Education Technology,Tianjin,Bachelor's,Non-affiliated,Curriculum Data Scientist,"Data Analysis, UI/UX Design, Cognitive Science, Experimental Design, SQL, R, A/B Testing",1.0,5,JD_0944,"Skills: Data Analysis, UI/UX Design, Cognitive Science, Experimental Design, SQL, R, A/B Testing. Education: Bachelor's. Level: Manager. Expected Title: Curriculum Data Scientist. Industry: Education Technology"
REC_03774,0.0,10.0,27.0,40.3,8.0,Female,Junior,Real Estate,Xi'an,Bachelor's,,Leasing Ops Lead,"Python/R, Systems Integration, Earned Value Management, Cartography, Due Diligence, Data Analysis, Agile, Network Security",1.0,1,JD_1216,"Skills: Python/R, Systems Integration, Earned Value Management, Cartography, Due Diligence, Data Analysis, Agile, Network Security. Education: Bachelor's. Level: Junior. Expected Title: Leasing Ops Lead. Industry: Real Estate"
REC_04636,2.0,,28.0,49.9,5.0,Female,Junior,Manufacturing,Xi'an,Master's,,Maint Predictive Eng,"ERP/MRP Systems, Production Planning, Risk Management, Minitab, Spectroscopy",2.0,1,JD_0099,"Skills: ERP/MRP Systems, Production Planning, Risk Management, Minitab, Spectroscopy. Education: Master's. Level: Junior. Expected Title: Maint Predictive Eng. Industry: Manufacturing"
REC_03162,1.0,14.4,25.0,42.7,7.0,Female,Junior,FinTech,Chongqing,Bachelor's,CPC Member,Quantitative Analyst,"Solidity, Algorithmic Trading, Financial Modeling, Corporate Finance, Cryptography",1.0,1,JD_1118,"Skills: Solidity, Algorithmic Trading, Financial Modeling, Corporate Finance, Cryptography. Education: Bachelor's. Level: Junior. Expected Title: Quantitative Analyst. Industry: FinTech"
REC_02660,0.0,10.0,25.0,40.5,8.0,Female,Intern,Telecom,Wuhan,High School,,5G Network Architect,"Optical Engineering, Telecom Standards, Data Analysis, Infrastructure, C/C++, Project Management, Telecom Fundamentals",0.0,0,JD_1697,"Skills: Optical Engineering, Telecom Standards, Data Analysis, Infrastructure, C/C++, Project Management, Telecom Fundamentals. Education: High School. Level: Intern. Expected Title: 5G Network Architect. Industry: Telecom"
REC_04616,13.0,50.0,38.0,50.9,9.0,Male,Manager,Telecom,Shanghai,,Non-affiliated,Admin VoIP,"Network Slicing, Excel, DSP, Linux, GIS (ArcGIS/QGIS), Infrastructure, Information Theory",,5,JD_1581,"Skills: Network Slicing, Excel, DSP, Linux, GIS (ArcGIS/QGIS), Infrastructure, Information Theory. Education: . Level: Manager. Expected Title: Admin VoIP. Industry: Telecom"
REC_04629,3.0,15.0,27.0,45.1,8.0,Female,Mid-level,Healthcare,Nanjing,Master's,Democratic Party Member,Biostatistician,"Compliance Auditing, SQL, IoT Integration, HIPAA/HITECH, Survival Analysis, Security",2.0,2,JD_0511,"Skills: Compliance Auditing, SQL, IoT Integration, HIPAA/HITECH, Survival Analysis, Security. Education: Master's. Level: Mid-level. Expected Title: Biostatistician. Industry: Healthcare"
REC_02452,10.0,35.0,35.0,48.8,10.0,Male,Senior,Logistics,Shenzhen,Master's,Non-affiliated,Route Optimization Eng,"Python, IoT Security, SQL, Optimization Algorithms, Data Analysis, Statistical Modeling",2.0,3,JD_1589,"Skills: Python, IoT Security, SQL, Optimization Algorithms, Data Analysis, Statistical Modeling. Education: Master's. Level: Senior. Expected Title: Route Optimization Eng. Industry: Logistics"
REC_02847,7.0,30.0,33.0,47.8,6.0,Male,Senior,Real Estate,Shenzhen,Bachelor's,,BIM Coordinator,"Revit, Real Estate Economics, Agile, Python, Spatial Databases, Procore, Data Analysis",1.0,3,JD_0889,"Skills: Revit, Real Estate Economics, Agile, Python, Spatial Databases, Procore, Data Analysis. Education: Bachelor's. Level: Senior. Expected Title: BIM Coordinator. Industry: Real Estate"
REC_01145,11.0,20.0,37.0,41.3,9.0,Male,Senior,Manufacturing,Shenzhen,Master's,,SC Risk Manager,"Robotics Programming, Materials Science, Quality Assurance, Manufacturing Execution Systems (MES), Industrial Networks, Supply Chain Mapping, Problem Solving, Machine Learning",2.0,3,JD_0209,"Skills: Robotics Programming, Materials Science, Quality Assurance, Manufacturing Execution Systems (MES), Industrial Networks, Supply Chain Mapping, Problem Solving, Machine Learning. Education: Master's. Level: Senior. Expected Title: SC Risk Manager. Industry: Manufacturing"
REC_03079,13.0,38.0,34.0,39.3,8.0,Male,Lead,E-Commerce,Suzhou,Bachelor's,CPC Member,Personalization Specialist,"Digital Marketing, Taxonomy, UX Research, SEO/SEM, Recommendation Systems, UX Strategy, Machine Learning, Python",1.0,4,JD_0504,"Skills: Digital Marketing, Taxonomy, UX Research, SEO/SEM, Recommendation Systems, UX Strategy, Machine Learning, Python. Education: Bachelor's. Level: Lead. Expected Title: Personalization Specialist. Industry: E-Commerce"
REC_01104,10.0,31.0,35.0,38.5,7.0,Female,Senior,FinTech,Xi'an,High School,CPC Candidate,Quantitative Analyst,"Payment Gateways, Excel, Stress Testing, Actuarial Modeling, Java, Solidity",0.0,3,JD_1564,"Skills: Payment Gateways, Excel, Stress Testing, Actuarial Modeling, Java, Solidity. Education: High School. Level: Senior. Expected Title: Quantitative Analyst. Industry: FinTech"
REC_00169,7.0,39.0,28.0,48.4,10.0,Male,Senior,Logistics,Beijing,Bachelor's,Non-affiliated,Freight Forwarder,"IoT Security, Excel/VBA, Trade Compliance, Supply Chain Law, C++",1.0,3,JD_1589,"Skills: IoT Security, Excel/VBA, Trade Compliance, Supply Chain Law, C++. Education: Bachelor's. Level: Senior. Expected Title: Freight Forwarder. Industry: Logistics"
REC_01671,0.0,15.0,21.0,41.8,6.0,Male,Junior,Logistics,Chengdu,Bachelor's,,Controller Inventory,"Telematics, GIS, Compliance, Optimization Algorithms, Process Optimization, C++, HTS Classification, Supply Chain Law",1.0,1,JD_1593,"Skills: Telematics, GIS, Compliance, Optimization Algorithms, Process Optimization, C++, HTS Classification, Supply Chain Law. Education: Bachelor's. Level: Junior. Expected Title: Controller Inventory. Industry: Logistics"
REC_02571,,17.0,25.0,41.2,6.0,Male,Junior,Retail,Wuhan,Bachelor's,Non-affiliated,Planner Store,"Negotiation, POS Architecture, Auditing, Data Entry, Networking, E-commerce, Communication, SPSS",1.0,1,JD_0000,"Skills: Negotiation, POS Architecture, Auditing, Data Entry, Networking, E-commerce, Communication, SPSS. Education: Bachelor's. Level: Junior. Expected Title: Planner Store. Industry: Retail"
REC_02378,7.0,34.0,29.0,49.6,7.0,Female,Senior,Manufacturing,Beijing,Master's,Non-affiliated,Production Scheduler,"Industrial Networks, Project Management, Change Management, PLC Programming, MQTT/OPC-UA, Minitab",2.0,3,JD_1585,"Skills: Industrial Networks, Project Management, Change Management, PLC Programming, MQTT/OPC-UA, Minitab. Education: Master's. Level: Senior. Expected Title: Production Scheduler. Industry: Manufacturing"
REC_04396,11.0,25.0,33.0,37.5,6.0,Male,Senior,Logistics,Suzhou,High School,CPC Candidate,Trade International Comp,"C++, SQL, Incoterms, Data Analysis, Logistics Coordination, Telematics, Logistics Planning",0.0,3,JD_0034,"Skills: C++, SQL, Incoterms, Data Analysis, Logistics Coordination, Telematics, Logistics Planning. Education: High School. Level: Senior. Expected Title: Trade International Comp. Industry: Logistics"
REC_04258,1.0,10.0,29.0,46.7,8.0,Male,Intern,Education Technology,Beijing,Ph.D.,,LMS Architect,"Data Visualization, Training, API Development, Psychometrics, Scheduling Algorithms, R",3.0,0,JD_0313,"Skills: Data Visualization, Training, API Development, Psychometrics, Scheduling Algorithms, R. Education: Ph.D.. Level: Intern. Expected Title: LMS Architect. Industry: Education Technology"
